output,comparison,RMSE,NRMSE%,MAE
v_out_mean,ODE_vs_Simscape,1.0374824627587584,2.9715685567862833,0.4145881257228444
v_out_mean,Surrogate_vs_ODE,1.1564743154173141e-07,3.317837506498105e-07,6.585102028111577e-08
v_out_mean,Surrogate_vs_Simscape,1.0374824262731484,2.971568452283802,0.41458808505706657
i_l_mean,ODE_vs_Simscape,0.09996674735843401,0.5266213910117685,0.05189882782901508
i_l_mean,Surrogate_vs_ODE,1.653225988052804e-08,8.684992247191818e-08,1.0760670972054243e-08
i_l_mean,Surrogate_vs_Simscape,0.09996674849701857,0.5266213970097928,0.05189882941152156
v_out_ripple,ODE_vs_Simscape,0.029546828262784736,4.602400421623891,0.007863606558452356
v_out_ripple,Surrogate_vs_ODE,2.6598674849990177e-11,4.148147752014885e-09,1.8198709622607722e-11
v_out_ripple,Surrogate_vs_Simscape,0.02954682825637465,4.602400420625416,0.00786360655379746
i_l_ripple,ODE_vs_Simscape,0.03762528403731346,0.9557014380613379,0.02675858512063984
i_l_ripple,Surrogate_vs_ODE,5.021594516558375e-08,1.2424572125747182e-06,3.3566930710549056e-08
i_l_ripple,Surrogate_vs_Simscape,0.03762528795127673,0.9557015374780046,0.026758588739997383
efficiency,ODE_vs_Simscape,0.019340232695597807,10.354193389263342,0.017205337739961205
efficiency,Surrogate_vs_ODE,6.965904976031351e-11,4.246073947981866e-08,4.232477035515103e-11
efficiency,Surrogate_vs_Simscape,0.01934023271766128,10.354193401075477,0.01720533775290045
