model,output,spearman_rho,p_value
GP-SE,v_out_mean,0.5675967596759675,7.370748217524354e-10
GP-SE,i_l_mean,0.5108790879087908,5.61059785235759e-08
GP-SE,v_out_ripple,0.4151215121512151,1.751114533046904e-05
GP-SE,i_l_ripple,0.34753075307530745,0.000396035821520924
GP-SE,efficiency,0.5104110411041104,5.796163975304218e-08
GP-M52,v_out_mean,0.48020402040204013,4.284499196071537e-07
GP-M52,i_l_mean,0.4353915391539154,5.978229028220133e-06
GP-M52,v_out_ripple,0.40456045604560453,2.984241112211833e-05
GP-M52,i_l_ripple,0.4589378937893789,1.5681131947812736e-06
GP-M52,efficiency,0.5104230423042303,5.791333587083166e-08
GP-M32,v_out_mean,0.19057905790579055,0.05752811716255418
GP-M32,i_l_mean,0.29419741974197416,0.0029680083214403837
GP-M32,v_out_ripple,0.22131413141314127,0.026909129166789586
GP-M32,i_l_ripple,0.21768976897689765,0.029578287678390935
GP-M32,efficiency,0.2888568856885688,0.0035608414159043647
GP-SE-noARD,v_out_mean,0.5675967596759675,7.370748217524354e-10
GP-SE-noARD,i_l_mean,0.5108790879087908,5.61059785235759e-08
GP-SE-noARD,v_out_ripple,0.4151215121512151,1.751114533046904e-05
GP-SE-noARD,i_l_ripple,0.34753075307530745,0.000396035821520924
GP-SE-noARD,efficiency,0.5104110411041104,5.796163975304218e-08
