output,input,S1,S1_conf,ST,ST_conf
v_out_mean,D,0.6045975248334067,0.024658895350805142,0.659349101911762,0.020266237135234174
v_out_mean,V_in,0.33695068624774793,0.013734358157855824,0.3870943022144562,0.014112572813639389
v_out_mean,R,0.0030714972622404735,0.0025901292686870384,0.00860302806339592,0.0007938411048852869
v_out_mean,f_sw,1.5415891040417158e-06,2.7459715813075957e-05,8.809738399144483e-07,6.708333677460576e-08
i_l_mean,D,0.30343138956962845,0.02903606926114004,0.5443011639554864,0.04668633677350738
i_l_mean,V_in,0.03781179989907327,0.008518674768935761,0.1165180002349212,0.01264025811731988
i_l_mean,R,0.3776042641779821,0.04001287831516768,0.6348861937066723,0.05029063752800924
i_l_mean,f_sw,6.30726762762669e-05,0.00024216659915114557,7.901326440403954e-05,8.281000626856932e-06
v_out_ripple,D,0.17851945034744077,0.019069808558957974,0.3701693085740851,0.031157201599487004
v_out_ripple,V_in,0.026448748274249305,0.005946124953914649,0.07183323576551834,0.007103933713830389
v_out_ripple,R,0.29330629006083464,0.025958570422917864,0.5494147554900283,0.042176236522809836
v_out_ripple,f_sw,0.14636860337940033,0.021667888752100496,0.3860622630627059,0.02976763239130901
i_l_ripple,D,0.14151684004756632,0.012352878530124081,0.2312537764082894,0.01531895539744375
i_l_ripple,V_in,0.09547156681094376,0.010175904937886967,0.15778219266797303,0.009054971199213849
i_l_ripple,R,1.6691086902192856e-06,1.6892387199855288e-05,3.885774232249981e-07,3.5758497811708985e-08
i_l_ripple,f_sw,0.6238032474137243,0.03666774434045658,0.7485147654085578,0.02991124102440653
efficiency,D,0.19239831040501315,0.02532042095994286,0.48374384757285516,0.03749552015279283
efficiency,V_in,0.0588732888512437,0.009237774999642552,0.06893014190951488,0.00552754455242371
efficiency,R,0.4547618220490729,0.03507700467401779,0.7403768779301618,0.04998851256760855
efficiency,f_sw,2.1235710114103257e-05,0.00013018377952795512,3.070593812150518e-05,3.4558016112365628e-06
